UserName,Email,Name,Phone,CompanyName,Title,Department,OrganizationCode,CountryCode,UserRole,IsInternal
testingmainguyen+1@gmail.com,testingmainguyen+1@gmail.com,CAREY CHEN,,INTERNATIONAL ART ENTERPRISE,,,ORG0001,,9,N
testingmainguyen+2@gmail.com,testingmainguyen+2@gmail.com,ANDREW WONG/IRENE WONG,,H.K. STYLE SUPPLY LTD,,,ORG0002,,9,N
testingmainguyen+3@gmail.com,testingmainguyen+3@gmail.com,HELEN YO,,HALLEY COMET I/NATIONAL TAIWAN,,,ORG0003,,9,N
testingmainguyen+4@gmail.com,testingmainguyen+4@gmail.com,HOWARD GOLDMAN,,RAYBURN TRADING CO LTD,,,ORG0004,,9,N
testingmainguyen+5@gmail.com,testingmainguyen+5@gmail.com,ARIEL,,PMS INTERNATIONAL FAR EAST LTD,,,ORG0005,,9,N
hai.nguyen.customer+ex1@gmail.com,hai.nguyen.customer+ex1@gmail.com,FANG JIONG,,ZHEJIANG ARTS & CRAFTS IMP & EXP CO,,,ORG0200,,9,N
hai.nguyen.customer+ex2@gmail.com,hai.nguyen.customer+ex2@gmail.com,HOANG XUAN PHUONG,,HACA CO LTD,,,ORG0201,,9,N
hai.nguyen.customer+ex3@gmail.com,hai.nguyen.customer+ex3@gmail.com,CHRIS LATOUR,,GARLAND SALES INC (MILBERG FACTORS,,,ORG0202,,9,N
hai.nguyen.customer+ex4@gmail.com,hai.nguyen.customer+ex4@gmail.com,GIL LOCKHART,,PERPETUAL PLAY GROUP LIMITED,,,ORG0203,,9,N
hai.nguyen.customer+ex5@gmail.com,hai.nguyen.customer+ex5@gmail.com,DANIEL HOOPER,,GENEX AUSTRALIA PTY LTD,,,ORG0204,,9,N
